id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,predicted_cltv,cltv_segment,income_band,policy_band,has_claims
89393,Female,Rural,High School,5L-10L,0,6,2134,More than 1,B,Silver,76723.39,Medium,5L-10L,More than 1,1
89394,Female,Urban,High School,2L-5L,0,4,4102,More than 1,A,Platinum,97266.91,Premium,2L-5L,More than 1,1
89395,Male,Rural,High School,5L-10L,1,7,2925,More than 1,B,Gold,78481.42,Medium,5L-10L,More than 1,1
89396,Female,Rural,Bachelor,More than 10L,1,2,0,More than 1,B,Silver,77005.95,Medium,More than 10L,More than 1,0
89397,Female,Urban,High School,2L-5L,0,5,14059,More than 1,B,Silver,96586.71,Premium,2L-5L,More than 1,1
89398,Female,Rural,High School,2L-5L,1,6,3697,More than 1,A,Gold,104727.3,Premium,2L-5L,More than 1,1
89399,Male,Urban,Bachelor,5L-10L,0,6,0,1,A,Platinum,44319.66,Low,5L-10L,1,0
89400,Female,Urban,High School,2L-5L,0,2,0,More than 1,B,Gold,88801.47,High,2L-5L,More than 1,0
89401,Male,Rural,Bachelor,5L-10L,0,4,0,1,A,Silver,43781.5,Low,5L-10L,1,0
89402,Male,Urban,High School,2L-5L,0,6,5581,More than 1,C,Gold,114391.92,Premium,2L-5L,More than 1,1
89403,Female,Urban,Bachelor,5L-10L,1,5,7008,More than 1,C,Gold,109764.06,Premium,5L-10L,More than 1,1
89404,Male,Rural,Bachelor,5L-10L,1,7,2888,More than 1,B,Silver,77150.88,Medium,5L-10L,More than 1,1
89405,Female,Urban,Bachelor,5L-10L,0,5,5555,1,A,Silver,42948.61,Low,5L-10L,1,1
89406,Male,Urban,High School,5L-10L,1,3,3891,1,A,Platinum,45210.49,Low,5L-10L,1,1
89407,Male,Urban,Bachelor,5L-10L,0,5,4709,1,C,Platinum,45257.17,Low,5L-10L,1,1
89408,Male,Urban,Bachelor,5L-10L,0,8,7743,More than 1,B,Platinum,92517.12,High,5L-10L,More than 1,1
89409,Male,Urban,Bachelor,5L-10L,1,7,5958,More than 1,A,Silver,93625.43,High,5L-10L,More than 1,1
89410,Male,Urban,High School,5L-10L,1,6,6893,More than 1,A,Platinum,98661.41,Premium,5L-10L,More than 1,1
89411,Female,Urban,High School,2L-5L,0,4,3230,More than 1,A,Platinum,97205.97,Premium,2L-5L,More than 1,1
89412,Male,Urban,High School,5L-10L,0,2,4586,More than 1,C,Platinum,87841.71,High,5L-10L,More than 1,1
89413,Male,Rural,Bachelor,5L-10L,0,2,9391,More than 1,A,Gold,107542.69,Premium,5L-10L,More than 1,1
89414,Female,Rural,High School,5L-10L,1,5,3183,1,A,Platinum,46935.81,Low,5L-10L,1,1
89415,Male,Urban,Others,5L-10L,0,6,5792,1,A,Platinum,43243.83,Low,5L-10L,1,1
89416,Male,Urban,High School,More than 10L,1,8,4083,More than 1,A,Platinum,84030.77,Medium,More than 10L,More than 1,1
89417,Female,Urban,High School,More than 10L,0,1,7441,More than 1,A,Platinum,118568.81,Premium,More than 10L,More than 1,1
89418,Female,Rural,Bachelor,5L-10L,1,4,0,More than 1,A,Silver,82715.3,Medium,5L-10L,More than 1,0
89419,Female,Rural,Bachelor,More than 10L,0,1,2408,1,B,Silver,47757.45,Medium,More than 10L,1,1
89420,Female,Urban,High School,2L-5L,0,6,6705,More than 1,B,Platinum,97590.79,Premium,2L-5L,More than 1,1
89421,Male,Urban,Bachelor,5L-10L,0,3,7502,More than 1,B,Platinum,96893.28,Premium,5L-10L,More than 1,1
89422,Female,Rural,High School,5L-10L,0,8,6809,More than 1,B,Gold,85270.06,High,5L-10L,More than 1,1
89423,Male,Urban,High School,5L-10L,1,5,10174,More than 1,A,Platinum,115552.57,Premium,5L-10L,More than 1,1
89424,Male,Rural,High School,5L-10L,0,7,0,1,B,Platinum,45317.61,Low,5L-10L,1,0
89425,Female,Urban,Bachelor,5L-10L,1,0,5875,More than 1,B,Silver,87371.86,High,5L-10L,More than 1,1
