id,cltv
89393,79926.11
89394,105134.81
89395,81495.52
89396,77358.14
89397,106617.65
89398,97178.84
89399,44919.41
89400,92295.05
89401,44560.46
89402,117170.11
89403,123950.81
89404,78965.85
89405,42789.86
89406,45317.76
89407,43901.01
89408,107051.56
89409,97585.01
89410,102289.36
89411,103313.66
89412,104210.27
89413,112353.78
89414,46518.37
89415,43699.14
89416,90698.20
89417,115306.53
89418,85586.32
89419,46345.81
89420,103651.63
89421,107437.79
89422,93781.93
89423,115422.89
89424,45733.51
89425,90042.21
89426,101247.00
89427,86583.55
89428,93930.66
89429,82496.96
89430,49124.56
89431,99110.10
89432,96962.79
89433,44106.39
89434,47074.61
89435,44690.56
89436,87591.26
89437,47876.48
89438,105335.11
89439,46218.91
89440,105180.28
89441,105936.85
89442,51901.52
89443,89855.37
89444,52595.83
89445,90919.39
89446,83518.86
89447,99291.83
89448,102580.72
89449,111305.12
89450,99074.20
89451,101089.62
89452,105754.81
89453,98135.30
89454,113689.94
89455,91779.61
89456,107307.94
89457,90090.06
89458,111127.30
89459,98444.47
89460,101898.82
89461,91238.98
89462,82228.20
89463,88877.11
89464,127874.32
89465,118244.30
89466,47451.29
89467,98879.90
89468,44710.55
89469,87682.82
89470,44862.70
89471,122421.46
89472,96094.75
89473,103675.99
89474,96946.80
89475,91420.79
89476,118769.80
89477,44912.44
89478,105899.75
89479,102882.77
89480,85232.59
89481,47318.04
89482,45033.92
89483,93217.87
89484,46352.84
89485,99601.99
89486,103116.80
89487,96373.56
89488,77407.47
89489,47493.18
89490,77979.33
89491,92350.20
89492,85214.55
89493,45246.02
89494,44724.07
89495,86415.17
89496,85210.55
89497,110519.14
89498,83550.75
89499,45860.93
89500,98524.06
89501,51299.49
89502,46719.04
89503,123996.40
89504,120662.80
89505,76365.74
89506,45335.30
89507,93085.28
89508,82201.60
89509,113521.00
89510,46515.19
89511,104327.03
89512,110786.62
89513,87381.74
89514,106794.80
89515,86878.49
89516,45742.38
89517,81908.44
89518,48043.30
89519,109333.68
89520,47867.37
89521,89515.20
89522,46921.62
89523,46395.92
89524,46068.51
89525,83985.38
89526,46996.14
89527,46416.97
89528,83893.68
89529,92314.17
89530,110045.50
89531,115316.32
89532,45019.90
89533,49560.69
89534,92434.17
89535,93859.20
89536,92592.33
89537,97798.15
89538,106213.81
89539,107251.52
89540,48044.35
89541,97724.69
89542,75688.39
89543,46034.42
89544,89024.14
89545,46485.91
89546,134501.23
89547,82755.32
89548,95952.86
89549,82805.42
89550,44704.22
89551,88513.61
89552,78311.72
89553,100538.70
89554,48845.22
89555,48424.36
89556,83437.51
89557,92078.28
89558,110611.33
89559,93873.46
89560,42452.62
89561,96381.82
89562,104307.52
89563,80213.82
89564,105626.04
89565,81867.37
89566,95883.13
89567,81243.84
89568,106910.59
89569,81810.52
89570,104082.25
